application_id,student_id,role_id,application_date,status
A000001,S0069,R00024,2025-12-01,Shortlisted
A000002,S0092,R00307,2025-11-27,Offer Accepted
A000003,S0267,R00613,2025-12-03,Interview Scheduled
A000004,S0259,R00208,2026-02-09,Rejected
A000005,S0061,R00308,2025-08-27,Shortlisted
A000006,S0091,R00445,2025-10-11,Interview Scheduled
A000007,S0221,R00105,2025-10-27,Interview Scheduled
A000008,S0252,R00528,2025-11-16,Interview Scheduled
A000009,S0081,R00405,2025-11-23,Shortlisted
A000010,S0181,R00612,2025-12-13,Offer Accepted
A000011,S0179,R00648,2025-11-12,Shortlisted
A000012,S0050,R00343,2025-11-10,Interview Scheduled
A000013,S0127,R00185,2025-09-17,Offer Accepted
A000014,S0087,R00016,2025-11-17,Shortlisted
A000015,S0216,R00212,2025-10-26,Shortlisted
A000016,S0200,R00258,2025-12-24,Shortlisted
A000017,S0173,R00397,2025-11-02,Shortlisted
A000018,S0187,R00787,2025-12-14,Shortlisted
A000019,S0275,R00168,2025-11-20,Interview Scheduled
A000020,S0116,R00500,2025-09-24,Shortlisted
A000021,S0173,R00216,2025-10-04,Interview Scheduled
A000022,S0040,R00521,2025-11-07,Rejected
A000023,S0213,R00322,2025-10-15,Interview Scheduled
A000024,S0010,R00503,2025-10-05,Interview Scheduled
A000025,S0240,R00212,2026-01-18,Shortlisted
A000026,S0031,R00418,2026-01-03,Offer Accepted
A000027,S0223,R00329,2025-10-13,Rejected
A000028,S0147,R00517,2025-10-09,Shortlisted
A000029,S0077,R00148,2025-11-07,Shortlisted
A000030,S0224,R00339,2025-09-22,Selected
A000031,S0133,R00631,2026-01-14,Shortlisted
A000032,S0249,R00625,2026-01-01,Applied
A000033,S0209,R00719,2026-01-21,Shortlisted
A000034,S0072,R00186,2025-10-20,Interview Scheduled
A000035,S0298,R00769,2025-09-16,Interview Scheduled
A000036,S0063,R00617,2025-12-31,Rejected
A000037,S0217,R00171,2025-11-02,Interview Scheduled
A000038,S0131,R00692,2026-02-01,Shortlisted
A000039,S0163,R00436,2026-01-04,Interview Scheduled
A000040,S0075,R00292,2025-11-07,Shortlisted
A000041,S0311,R00029,2025-11-15,Shortlisted
A000042,S0123,R00200,2025-11-15,Shortlisted
A000043,S0063,R00429,2026-01-02,Shortlisted
A000044,S0202,R00747,2025-09-22,Interview Scheduled
A000045,S0083,R00736,2025-11-21,Shortlisted
A000046,S0018,R00216,2025-11-06,Shortlisted
A000047,S0212,R00746,2025-12-10,Shortlisted
A000048,S0134,R00404,2025-12-30,Shortlisted
A000049,S0233,R00559,2025-11-05,Shortlisted
A000050,S0070,R00002,2025-09-20,Interview Scheduled
A000051,S0081,R00197,2025-12-16,Rejected
A000052,S0211,R00634,2025-10-04,Shortlisted
A000053,S0089,R00553,2025-08-28,Shortlisted
A000054,S0189,R00140,2025-10-23,Shortlisted
A000055,S0012,R00743,2026-01-28,Shortlisted
A000056,S0102,R00208,2025-10-30,Offer Declined
A000057,S0046,R00777,2025-11-19,Shortlisted
A000058,S0223,R00617,2025-09-18,Shortlisted
A000059,S0105,R00148,2025-12-11,Shortlisted
A000060,S0196,R00103,2025-12-08,Shortlisted
A000061,S0097,R00336,2026-02-03,Selected
A000062,S0121,R00494,2025-12-21,Interview Scheduled
A000063,S0044,R00008,2025-11-20,Interview Scheduled
A000064,S0109,R00572,2025-09-08,Shortlisted
A000065,S0286,R00046,2026-02-19,Interview Scheduled
A000066,S0307,R00570,2025-10-17,Offer Accepted
A000067,S0203,R00538,2025-09-18,Applied
A000068,S0258,R00394,2025-09-25,Shortlisted
A000069,S0272,R00346,2025-10-17,Interview Scheduled
A000070,S0144,R00597,2025-11-22,Selected
A000071,S0136,R00414,2025-12-13,Offer Declined
A000072,S0078,R00445,2025-09-02,Shortlisted
A000073,S0077,R00042,2025-11-17,Shortlisted
A000074,S0224,R00090,2025-10-24,Shortlisted
A000075,S0288,R00390,2025-09-03,Shortlisted
A000076,S0048,R00158,2025-11-16,Rejected
A000077,S0300,R00167,2025-10-06,Offer Declined
A000078,S0040,R00193,2025-12-01,Offer Accepted
A000079,S0063,R00316,2025-09-25,Shortlisted
A000080,S0042,R00369,2026-02-03,Interview Scheduled
A000081,S0305,R00527,2025-10-20,Offer Accepted
A000082,S0292,R00102,2025-11-24,Applied
A000083,S0281,R00771,2025-09-16,Interview Scheduled
A000084,S0205,R00070,2025-10-15,Selected
A000085,S0079,R00094,2026-01-10,Shortlisted
A000086,S0309,R00103,2025-10-18,Shortlisted
A000087,S0229,R00709,2025-09-12,Shortlisted
A000088,S0217,R00649,2025-09-13,Shortlisted
A000089,S0263,R00275,2025-12-28,Selected
A000090,S0254,R00422,2026-01-01,Offer Accepted
A000091,S0245,R00240,2025-12-27,Shortlisted
A000092,S0268,R00343,2025-10-19,Interview Scheduled
A000093,S0262,R00341,2025-10-24,Rejected
A000094,S0300,R00063,2025-12-02,Offer Declined
A000095,S0202,R00034,2025-11-19,Shortlisted
A000096,S0233,R00604,2026-01-30,Shortlisted
A000097,S0096,R00166,2025-09-27,Applied
A000098,S0274,R00015,2025-12-03,Offer Declined
A000099,S0309,R00582,2025-12-23,Rejected
A000100,S0203,R00645,2025-09-01,Selected
A000101,S0009,R00559,2025-11-08,Offer Accepted
A000102,S0224,R00674,2025-09-23,Shortlisted
A000103,S0238,R00117,2025-11-23,Selected
A000104,S0228,R00783,2025-10-26,Shortlisted
A000105,S0151,R00455,2026-01-13,Offer Accepted
A000106,S0222,R00793,2025-12-30,Shortlisted
A000107,S0149,R00030,2025-12-17,Shortlisted
A000108,S0250,R00183,2025-09-14,Offer Accepted
A000109,S0214,R00712,2025-11-12,Shortlisted
A000110,S0224,R00017,2025-11-02,Selected
A000111,S0260,R00173,2026-01-14,Interview Scheduled
A000112,S0240,R00103,2025-12-26,Shortlisted
A000113,S0185,R00637,2025-10-20,Shortlisted
A000114,S0045,R00534,2025-12-02,Interview Scheduled
A000115,S0213,R00763,2025-09-08,Interview Scheduled
A000116,S0010,R00289,2025-12-11,Shortlisted
A000117,S0258,R00026,2025-10-24,Shortlisted
A000118,S0288,R00175,2025-12-14,Interview Scheduled
A000119,S0286,R00212,2025-12-16,Shortlisted
A000120,S0054,R00567,2026-01-28,Interview Scheduled
A000121,S0057,R00790,2025-12-10,Interview Scheduled
A000122,S0022,R00405,2026-01-02,Selected
A000123,S0081,R00584,2025-09-07,Rejected
A000124,S0187,R00271,2025-12-14,Rejected
A000125,S0004,R00193,2025-10-13,Interview Scheduled
A000126,S0137,R00299,2025-10-27,Interview Scheduled
A000127,S0272,R00338,2026-01-09,Rejected
A000128,S0265,R00636,2025-11-19,Offer Accepted
A000129,S0265,R00764,2025-10-09,Interview Scheduled
A000130,S0202,R00606,2025-09-12,Shortlisted
A000131,S0267,R00789,2025-12-07,Rejected
A000132,S0161,R00730,2025-12-16,Interview Scheduled
A000133,S0076,R00562,2025-12-18,Selected
A000134,S0227,R00561,2025-12-15,Shortlisted
A000135,S0155,R00065,2025-12-31,Interview Scheduled
A000136,S0065,R00417,2025-12-10,Interview Scheduled
A000137,S0267,R00274,2025-12-14,Offer Declined
A000138,S0124,R00667,2025-09-28,Shortlisted
A000139,S0031,R00674,2025-08-21,Shortlisted
A000140,S0064,R00360,2025-12-06,Offer Accepted
A000141,S0298,R00452,2026-01-13,Shortlisted
A000142,S0120,R00283,2025-10-06,Rejected
A000143,S0194,R00416,2025-10-17,Shortlisted
A000144,S0185,R00365,2025-09-10,Shortlisted
A000145,S0032,R00341,2025-10-01,Interview Scheduled
A000146,S0270,R00322,2025-11-19,Shortlisted
A000147,S0217,R00809,2025-12-24,Rejected
A000148,S0074,R00404,2025-12-05,Shortlisted
A000149,S0271,R00091,2025-10-09,Shortlisted
A000150,S0287,R00297,2025-09-17,Interview Scheduled
A000151,S0190,R00458,2025-10-18,Selected
A000152,S0192,R00241,2025-11-23,Applied
A000153,S0157,R00712,2025-10-24,Rejected
A000154,S0035,R00697,2025-11-27,Shortlisted
A000155,S0173,R00624,2025-10-04,Shortlisted
A000156,S0071,R00403,2025-09-24,Interview Scheduled
A000157,S0167,R00070,2025-10-08,Shortlisted
A000158,S0203,R00274,2025-12-09,Shortlisted
A000159,S0046,R00695,2025-11-07,Interview Scheduled
A000160,S0064,R00516,2026-01-19,Rejected
A000161,S0268,R00147,2025-10-14,Applied
A000162,S0010,R00218,2025-11-26,Shortlisted
A000163,S0274,R00488,2025-09-27,Offer Declined
A000164,S0093,R00333,2025-09-12,Interview Scheduled
A000165,S0051,R00433,2025-09-07,Interview Scheduled
A000166,S0209,R00545,2025-09-12,Applied
A000167,S0200,R00077,2025-08-22,Applied
A000168,S0123,R00599,2025-11-18,Shortlisted
A000169,S0059,R00213,2025-10-15,Shortlisted
A000170,S0209,R00507,2025-12-24,Offer Accepted
