role_id,company_id,role_name,stipend,location,openings
R00001,C0001,Strategy Intern,47000,Hyderabad,1
R00002,C0001,Operations Intern,48000,Delhi NCR,8
R00003,C0001,Strategy Intern,46000,Remote,8
R00004,C0002,Finance Analyst Intern,48000,Pune,7
R00005,C0002,Finance Analyst Intern,52000,Hyderabad,12
R00006,C0003,Learning Analytics Intern,20000,Gurugram,6
R00007,C0003,Content Strategy Intern,34000,Hyderabad,8
R00008,C0004,Quality Intern,24000,Hyderabad,1
R00009,C0004,Process Engineering Intern,36000,Hyderabad,11
R00010,C0004,Quality Intern,35000,Delhi NCR,9
R00011,C0004,Supply Chain Intern,8000,Mumbai,6
R00012,C0005,Electrical Systems Intern,37000,Mumbai,3
R00013,C0005,Operations Intern,27000,Remote,7
R00014,C0005,Sustainability Analyst Intern,44000,Gurugram,10
R00015,C0005,Electrical Systems Intern,32000,Remote,1
R00016,C0006,Business Analyst Intern,47000,Hyderabad,9
R00017,C0006,Business Analyst Intern,59000,Chennai,6
R00018,C0007,Audit Intern,41000,Chennai,10
R00019,C0007,Audit Intern,52000,Remote,10
R00020,C0008,Operations Intern,19000,Mumbai,11
R00021,C0009,Operations Intern,47000,Hyderabad,11
R00022,C0009,Product Analyst Intern,33000,Hyderabad,3
R00023,C0009,Product Analyst Intern,34000,Mumbai,9
R00024,C0010,Content Strategy Intern,20000,Remote,3
R00025,C0010,Content Strategy Intern,28000,Mumbai,9
R00026,C0010,Learning Analytics Intern,30000,Chennai,8
R00027,C0010,Product Intern,33000,Bengaluru,6
R00028,C0011,Electrical Systems Intern,22000,Gurugram,7
R00029,C0012,QA Intern,45000,Gurugram,8
R00030,C0012,Data Analyst Intern,52000,Pune,1
R00031,C0012,Cloud Intern,57000,Delhi NCR,9
R00032,C0012,AI/ML Intern,40000,Gurugram,9
R00033,C0013,AI/ML Intern,63000,Hyderabad,5
R00034,C0014,Operations Intern,12000,Gurugram,9
R00035,C0014,Health Data Intern,25000,Remote,2
R00036,C0014,Health Data Intern,28000,Pune,1
R00037,C0015,Process Engineering Intern,12000,Chennai,2
R00038,C0015,Supply Chain Intern,8000,Delhi NCR,12
R00039,C0015,Quality Intern,41000,Chennai,12
R00040,C0015,Quality Intern,19000,Mumbai,4
R00041,C0016,Learning Analytics Intern,18000,Chennai,9
R00042,C0016,Content Strategy Intern,23000,Pune,5
R00043,C0017,Operations Intern,43000,Hyderabad,3
R00044,C0017,Health Data Intern,48000,Pune,11
R00045,C0017,Health Data Intern,25000,Mumbai,4
R00046,C0018,Business Operations Intern,33000,Remote,8
R00047,C0018,Growth Analyst Intern,17000,Pune,11
R00048,C0019,Software Intern,41000,Remote,9
R00049,C0019,Cloud Intern,48000,Chennai,8
R00050,C0019,Software Intern,54000,Hyderabad,12
R00051,C0019,QA Intern,41000,Chennai,2
R00052,C0020,Risk Analyst Intern,52000,Gurugram,5
R00053,C0020,Quant Intern,61000,Pune,6
R00054,C0020,Audit Intern,44000,Chennai,11
R00055,C0020,Finance Analyst Intern,48000,Bengaluru,2
R00056,C0021,Sustainability Analyst Intern,55000,Gurugram,8
R00057,C0021,Sustainability Analyst Intern,32000,Remote,4
R00058,C0021,Operations Intern,54000,Pune,3
R00059,C0021,Electrical Systems Intern,29000,Hyderabad,11
R00060,C0022,Quality Intern,27000,Mumbai,1
R00061,C0022,Process Engineering Intern,38000,Pune,12
R00062,C0022,Quality Intern,25000,Hyderabad,12
R00063,C0023,Sustainability Analyst Intern,22000,Delhi NCR,8
R00064,C0024,Business Operations Intern,43000,Gurugram,1
R00065,C0025,Operations Intern,35000,Chennai,2
R00066,C0026,Supply Chain Intern,23000,Remote,2
R00067,C0026,Quality Intern,16000,Hyderabad,2
R00068,C0026,Supply Chain Intern,19000,Remote,3
R00069,C0026,Quality Intern,48000,Mumbai,2
R00070,C0027,Quant Intern,44000,Delhi NCR,11
R00071,C0028,Data Analyst Intern,29000,Gurugram,4
R00072,C0028,Network Engineering Intern,38000,Remote,6
R00073,C0029,Strategy Intern,44000,Mumbai,4
R00074,C0029,Operations Intern,41000,Pune,12
R00075,C0029,Business Analyst Intern,46000,Pune,4
R00076,C0029,Operations Intern,28000,Remote,5
R00077,C0030,Health Data Intern,28000,Gurugram,7
R00078,C0031,Finance Analyst Intern,50000,Bengaluru,6
R00079,C0032,Sustainability Analyst Intern,45000,Remote,10
R00080,C0032,Sustainability Analyst Intern,17000,Gurugram,2
R00081,C0032,Sustainability Analyst Intern,36000,Hyderabad,1
R00082,C0033,Electrical Systems Intern,35000,Pune,11
R00083,C0033,Operations Intern,54000,Remote,7
R00084,C0033,Operations Intern,28000,Mumbai,5
R00085,C0034,Product Intern,33000,Hyderabad,9
R00086,C0035,Design Engineering Intern,38000,Remote,10
R00087,C0035,Operations Intern,30000,Hyderabad,5
R00088,C0036,Supply Chain Intern,25000,Delhi NCR,2
R00089,C0036,Process Engineering Intern,8000,Hyderabad,8
R00090,C0036,Quality Intern,25000,Mumbai,2
R00091,C0036,Supply Chain Intern,25000,Mumbai,12
R00092,C0037,Operations Intern,46000,Pune,3
R00093,C0038,Supply Chain Intern,51000,Pune,12
R00094,C0038,Supply Chain Intern,42000,Chennai,7
R00095,C0038,Process Engineering Intern,15000,Hyderabad,5
R00096,C0039,Finance Analyst Intern,36000,Gurugram,10
R00097,C0040,Design Engineering Intern,32000,Mumbai,5
R00098,C0040,Operations Intern,35000,Hyderabad,4
R00099,C0041,Embedded Systems Intern,8000,Bengaluru,4
R00100,C0042,Health Data Intern,19000,Mumbai,1
R00101,C0043,Business Analyst Intern,43000,Chennai,4
R00102,C0043,Strategy Intern,26000,Hyderabad,10
R00103,C0043,Strategy Intern,50000,Hyderabad,9
R00104,C0043,Business Analyst Intern,40000,Bengaluru,7
R00105,C0044,Product Intern,34000,Pune,5
R00106,C0045,Strategy Intern,52000,Delhi NCR,5
R00107,C0045,Operations Intern,48000,Pune,12
R00108,C0045,Operations Intern,33000,Gurugram,4
R00109,C0046,Network Engineering Intern,25000,Bengaluru,7
R00110,C0046,Customer Analytics Intern,47000,Bengaluru,6
R00111,C0047,Quality Intern,30000,Remote,12
R00112,C0048,Sustainability Analyst Intern,40000,Remote,8
R00113,C0048,Sustainability Analyst Intern,38000,Mumbai,12
R00114,C0048,Sustainability Analyst Intern,29000,Remote,12
R00115,C0049,Product Intern,41000,Hyderabad,10
R00116,C0049,Product Intern,42000,Hyderabad,10
R00117,C0049,Business Operations Intern,41000,Bengaluru,7
R00118,C0050,Process Engineering Intern,28000,Remote,12
R00119,C0050,Quality Intern,36000,Chennai,6
R00120,C0051,Sustainability Analyst Intern,29000,Mumbai,10
R00121,C0051,Sustainability Analyst Intern,34000,Mumbai,2
R00122,C0051,Electrical Systems Intern,36000,Hyderabad,9
R00123,C0051,Electrical Systems Intern,40000,Delhi NCR,8
R00124,C0052,Sustainability Analyst Intern,9000,Mumbai,11
