company_id,company_name,industry,company_type
C0001,DataNest Consulting,Consulting,Non-profit
C0002,DataNest Technologies,Finance,Startup
C0003,EduSphere Systems,EdTech,Startup
C0004,DataNest Systems,Manufacturing,Mid-size
C0005,TeleLink Labs,Energy,Government
C0006,Vertex Ventures,Consulting,Mid-size
C0007,Finova Analytics,Finance,Mid-size
C0008,TeleLink Analytics,Automotive,MNC
C0009,CloudNova Technologies,Healthcare,Startup
C0010,Nexa Systems,EdTech,Mid-size
C0011,EduSphere Technologies,Energy,Mid-size
C0012,BluePeak Analytics,Technology,Non-profit
C0013,Apex Solutions,Technology,MNC
C0014,CloudNova Solutions,Healthcare,Mid-size
C0015,MedAxis Labs,Manufacturing,Startup
C0016,Vertex Solutions,EdTech,MNC
C0017,AutoCore Technologies,Healthcare,Mid-size
C0018,Nexa Analytics,E-commerce,Government
C0019,UrbanCart Labs,Technology,MNC
C0020,InsightWorks Systems,Finance,MNC
C0021,UrbanCart Consulting,Energy,Mid-size
C0022,Apex Systems 22,Manufacturing,Startup
C0023,EduSphere Ventures,Energy,Mid-size
C0024,InsightWorks Labs 24,E-commerce,Startup
C0025,UrbanCart Technologies,Energy,Startup
C0026,BluePeak Systems 26,Manufacturing,Mid-size
C0027,AutoCore Consulting,Finance,Startup
C0028,BluePeak Ventures,Telecom,MNC
C0029,BluePeak Labs,Consulting,Startup
C0030,Vertex Technologies,Healthcare,Startup
C0031,GreenGrid Analytics 31,Finance,MNC
C0032,EduSphere Consulting 32,Energy,Government
C0033,GreenGrid Consulting,Energy,Non-profit
C0034,InsightWorks Consulting,E-commerce,MNC
C0035,EduSphere Consulting 35,Automotive,MNC
C0036,MedAxis Technologies 36,Manufacturing,Startup
C0037,EduSphere Labs,Automotive,Startup
C0038,Nexa Consulting,Manufacturing,Government
C0039,TeleLink Technologies,Finance,MNC
C0040,CloudNova Consulting 40,Automotive,Government
C0041,PrimeEdge Ventures,Automotive,MNC
C0042,MedAxis Technologies,Healthcare,MNC
C0043,Apex Analytics,Consulting,Startup
C0044,DataNest Labs,E-commerce,MNC
C0045,DataNest Analytics 45,Consulting,Non-profit
C0046,Vertex Systems 46,Telecom,MNC
C0047,UrbanCart Analytics,Manufacturing,Mid-size
C0048,Apex Ventures,Energy,Mid-size
C0049,Nexa Technologies 49,E-commerce,Mid-size
C0050,Finova Consulting,Manufacturing,Government
C0051,InsightWorks Solutions,Energy,MNC
C0052,GreenGrid Solutions,Energy,Government
C0053,GreenGrid Analytics 53,Manufacturing,Startup
C0054,Finova Technologies,Finance,MNC
C0055,GreenGrid Consulting 55,E-commerce,Mid-size
C0056,GreenGrid Analytics 56,Telecom,MNC
C0057,MedAxis Systems,Technology,Startup
C0058,MedAxis Ventures,Healthcare,MNC
C0059,Nexa Systems 59,Healthcare,Mid-size
C0060,AutoCore Ventures,Finance,MNC
C0061,Apex Consulting,Telecom,MNC
C0062,UrbanCart Solutions 62,Energy,Startup
C0063,DataNest Analytics 63,Energy,Startup
C0064,BluePeak Analytics 64,E-commerce,Mid-size
C0065,BluePeak Technologies,Automotive,Startup
C0066,BluePeak Systems 66,Automotive,Mid-size
C0067,EduSphere Analytics,Energy,Mid-size
C0068,UrbanCart Solutions 68,EdTech,Mid-size
C0069,Finova Labs 69,Energy,Mid-size
C0070,AutoCore Labs,E-commerce,Mid-size
C0071,InsightWorks Labs,Telecom,MNC
C0072,PrimeEdge Technologies 72,Consulting,Startup
C0073,Nexa Solutions,EdTech,Mid-size
C0074,PrimeEdge Labs,E-commerce,MNC
C0075,AutoCore Systems,EdTech,Startup
C0076,MedAxis Solutions,Finance,Startup
C0077,GreenGrid Systems 77,Finance,Mid-size
C0078,Apex Systems,Consulting,Government
C0079,DataNest Ventures,Automotive,Startup
C0080,Apex Labs 80,Automotive,Startup
C0081,AutoCore Consulting 81,Healthcare,Mid-size
C0082,Nexa Ventures,EdTech,MNC
C0083,Nexa Labs,Manufacturing,Startup
C0084,Nexa Ventures 84,Energy,Government
C0085,GreenGrid Technologies 85,Energy,MNC
C0086,Apex Technologies 86,Consulting,MNC
C0087,UrbanCart Solutions,Energy,Mid-size
C0088,Nexa Technologies 88,Finance,MNC
C0089,UrbanCart Ventures 89,Telecom,MNC
C0090,DataNest Labs 90,EdTech,MNC
C0091,DataNest Consulting 91,Finance,Mid-size
C0092,MedAxis Solutions 92,Energy,Startup
C0093,GreenGrid Solutions 93,Telecom,Mid-size
C0094,DataNest Analytics,Automotive,Mid-size
C0095,CloudNova Analytics 95,Consulting,Startup
C0096,BluePeak Labs 96,Healthcare,MNC
C0097,AutoCore Analytics,Manufacturing,Non-profit
C0098,Apex Ventures 98,Telecom,Mid-size
C0099,CloudNova Labs 99,Manufacturing,Government
C0100,Finova Labs,E-commerce,Mid-size
C0101,PrimeEdge Analytics,EdTech,Mid-size
C0102,EduSphere Consulting 102,EdTech,MNC
C0103,Finova Ventures,Telecom,Startup
C0104,TeleLink Ventures 104,EdTech,Startup
C0105,Nexa Systems 105,Manufacturing,Mid-size
C0106,DataNest Analytics 106,Manufacturing,Startup
C0107,MedAxis Analytics,Automotive,Startup
C0108,Finova Consulting 108,E-commerce,Non-profit
C0109,GreenGrid Analytics 109,Technology,MNC
C0110,InsightWorks Technologies 110,Consulting,Mid-size
C0111,Nexa Solutions 111,Automotive,Mid-size
C0112,TeleLink Labs 112,E-commerce,Mid-size
C0113,EduSphere Ventures 113,Automotive,Startup
C0114,UrbanCart Systems 114,Consulting,Mid-size
C0115,DataNest Solutions 115,Healthcare,MNC
C0116,PrimeEdge Technologies,EdTech,Startup
C0117,BluePeak Technologies 117,Manufacturing,MNC
C0118,Vertex Ventures 118,Automotive,Startup
C0119,PrimeEdge Consulting,Consulting,MNC
C0120,CloudNova Consulting,Finance,Non-profit
C0121,GreenGrid Systems,E-commerce,Mid-size
C0122,PrimeEdge Systems 122,Telecom,Government
C0123,CloudNova Systems,Consulting,MNC
C0124,Vertex Solutions 124,Finance,Mid-size
C0125,TeleLink Systems 125,Technology,MNC
C0126,PrimeEdge Labs 126,Telecom,Startup
C0127,EduSphere Technologies 127,EdTech,MNC
C0128,InsightWorks Technologies,EdTech,Startup
C0129,GreenGrid Labs,E-commerce,MNC
C0130,PrimeEdge Ventures 130,Telecom,Mid-size
